Developer,Metric,Value,What it Measures,Why it Matters
kevit-maurya-valambhiya,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
kevit-maurya-valambhiya,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
kevit-maurya-valambhiya,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
kevit-maurya-valambhiya,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
kevit-maurya-valambhiya,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
kevit-maurya-valambhiya,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
kevit-maurya-valambhiya,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
kevit-maurya-valambhiya,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
kevit-maurya-valambhiya,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
kevit-maurya-valambhiya,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
kevit-maurya-valambhiya,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
kevit-maurya-valambhiya,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
kevit-maurya-valambhiya,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
kevit-maurya-valambhiya,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
developers-jump-start,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
developers-jump-start,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
developers-jump-start,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
developers-jump-start,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
developers-jump-start,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
developers-jump-start,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
developers-jump-start,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
developers-jump-start,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
developers-jump-start,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
developers-jump-start,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
developers-jump-start,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
developers-jump-start,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
developers-jump-start,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
developers-jump-start,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
M2PG-Payment-Gateway Frontend Team,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
M2PG-Payment-Gateway Frontend Team,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
M2PG-Payment-Gateway Frontend Team,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
M2PG-Payment-Gateway Frontend Team,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
M2PG-Payment-Gateway Frontend Team,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
M2PG-Payment-Gateway Frontend Team,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
M2PG-Payment-Gateway Frontend Team,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
M2PG-Payment-Gateway Frontend Team,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
M2PG-Payment-Gateway Frontend Team,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
M2PG-Payment-Gateway Frontend Team,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
M2PG-Payment-Gateway Frontend Team,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
M2PG-Payment-Gateway Frontend Team,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
M2PG-Payment-Gateway Frontend Team,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
M2PG-Payment-Gateway Frontend Team,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
NextGenAfricaBank-Team,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
NextGenAfricaBank-Team,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
NextGenAfricaBank-Team,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
NextGenAfricaBank-Team,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
NextGenAfricaBank-Team,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
NextGenAfricaBank-Team,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
NextGenAfricaBank-Team,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
NextGenAfricaBank-Team,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
NextGenAfricaBank-Team,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
NextGenAfricaBank-Team,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
NextGenAfricaBank-Team,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
NextGenAfricaBank-Team,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
NextGenAfricaBank-Team,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
NextGenAfricaBank-Team,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
orient-museum-FE,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
orient-museum-FE,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
orient-museum-FE,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
orient-museum-FE,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
orient-museum-FE,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
orient-museum-FE,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
orient-museum-FE,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
orient-museum-FE,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
orient-museum-FE,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
orient-museum-FE,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
orient-museum-FE,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
orient-museum-FE,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
orient-museum-FE,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
orient-museum-FE,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
Project Telemetry Backend Team,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
Project Telemetry Backend Team,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
Project Telemetry Backend Team,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
Project Telemetry Backend Team,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
Project Telemetry Backend Team,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
Project Telemetry Backend Team,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
Project Telemetry Backend Team,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
Project Telemetry Backend Team,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
Project Telemetry Backend Team,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
Project Telemetry Backend Team,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
Project Telemetry Backend Team,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
Project Telemetry Backend Team,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
Project Telemetry Backend Team,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
Project Telemetry Backend Team,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
Project Telemetry Frontend Team,Cycle Time (first commit → merge),31m,Total time from first commit on branch to merge,"Core flow metric, tells you how long work takes end-to-end"
Project Telemetry Frontend Team,PR Throughput,5,Number of merged PRs per period,Shows delivery volume and trend
Project Telemetry Frontend Team,Average Coding Time (first commit → PR opened),7m,Time before dev raises a PR (coding time),Shows if PRs are too large or feedback is delayed
Project Telemetry Frontend Team,Review Waiting Time (PR opened → first review),1m,How long PRs wait before someone starts reviewing,Major bottleneck finder
Project Telemetry Frontend Team,Review Time (first review → approval/merge),n/a,Actual time reviewers spend,Helps diagnose review load/complexity
Project Telemetry Frontend Team,Total Comments,5,All discussion comments on the PRs,Extra context for heavy discussions
Project Telemetry Frontend Team,PR Size Category,xs:4 / s:0 / m:0 / l:0 / xl:1,Small/medium/large PR based on LOC/files changed,"Large PRs cause slow reviews, bugs, pressure"
Project Telemetry Frontend Team,Average Comments per PR,1.00,Count of PR comments,Shows review effort and quality signals
Project Telemetry Frontend Team,Requested Changes Count,0,How often reviewers ask for changes,Reflects code quality or reviewer strictness
Project Telemetry Frontend Team,Time to Address Changes (changes requested → approval/merge),n/a,How long devs take to respond,Shows responsiveness + clarity of work
Project Telemetry Frontend Team,Average LOC Added/Deleted,+281.00 / -70.00,Actual code churn per PR,Helps spot overly large changes
Project Telemetry Frontend Team,Average Files Added/Deleted,8.40,Files involved in PR,Good signal for complexity & scope
Project Telemetry Frontend Team,PRs Without Review,0,PRs merged/closed with no review events,Process or quality failure
Project Telemetry Frontend Team,PRs Without Approval,5,PRs merged without an approval review,Depends on team rules
